0,0,0,0,0,66,15,0,0,0,C0
2,1,3,3,5,51,0,0,1,0,C1
0,0,0,0,0,63,18,0,0,0,C0
0,0,0,0,0,62,17,0,0,0,C0
2,4,1,7,8,33,4,1,0,0,C1
0,1,2,0,5,28,0,0,0,0,C1
1,1,3,8,5,27,0,1,2,0,C1
0,0,0,0,0,66,13,0,0,0,C0
0,0,0,0,0,62,18,0,0,0,C0
2,1,1,1,3,71,28,0,0,0,C2
0,0,0,0,0,67,18,0,0,0,C0
0,0,0,0,0,73,18,0,0,0,C0
0,0,0,0,0,71,10,0,0,0,C0
0,0,0,0,0,67,13,0,0,0,C0
0,1,2,4,4,27,1,0,0,0,C1
0,0,0,0,0,66,17,0,0,0,C0
0,0,0,0,0,72,14,0,0,0,C0
0,1,3,1,1,48,6,0,0,0,C1
0,0,0,0,0,68,13,0,0,0,C0
0,0,0,0,0,60,16,0,0,0,C0
0,0,0,0,0,71,13,0,0,0,C0
0,0,0,0,0,77,11,0,0,0,C0
0,0,0,0,0,57,17,0,0,0,C0
0,0,0,0,0,65,10,0,0,0,C0
0,1,2,1,1,83,11,0,0,0,C2
0,0,0,0,0,68,15,0,0,0,C0
0,0,0,0,0,69,18,0,0,0,C0
2,0,4,3,4,44,6,0,0,0,C1
1,1,4,5,6,43,4,0,0,0,C1
1,1,9,4,3,7,2,2,0,0,C1
1,1,2,5,7,13,1,2,0,0,C1
0,0,0,0,0,54,23,0,0,0,C0
0,0,0,0,0,71,15,0,0,0,C0
0,0,0,0,0,68,12,0,0,0,C0
0,0,0,0,0,51,10,0,0,0,C0
0,0,0,0,0,68,16,0,0,0,C0
1,6,3,4,1,28,2,1,0,0,C1
1,0,1,4,3,46,5,1,1,0,C1
0,0,0,0,0,62,19,0,0,0,C0
0,0,0,0,0,74,18,0,0,0,C0
0,0,0,0,0,60,17,0,0,0,C0
0,0,0,0,0,57,15,0,0,0,C0
0,0,0,0,0,68,18,0,0,0,C0
0,0,0,0,0,65,21,0,0,0,C0
0,0,0,0,0,71,14,0,0,0,C0
2,2,5,2,5,43,2,0,0,0,C1
1,1,4,4,1,35,1,0,10,0,C1
0,0,0,0,0,58,14,0,0,0,C0
0,1,3,7,2,7,0,3,20,1,C1
0,0,0,0,0,68,22,0,0,0,C0
